Jour,Lieu
Mercredi,"12h00 — Parking de la salle L’Agora (proche médiathèque Saint-Xandre)"
Mercredi,"12h45 — Parking école Jean de La Fontaine, rue du Chemin Bas, Marsilly"
Mercredi,"13h15 — Centre bourg, 17 rue Léonce Vieljeux, Nieul-sur-Mer"
Mercredi,"13h45 — Parking espace Saint-Exupéry, L’Houmeau"
Mercredi,"16h30 — Parking du Belvédère, Île de Ré"
Mercredi,"17h10 — Parking collège de Beauregard, Sautel"
Mercredi,"17h45 — Esplanade des parcs, La Rochelle (près salle de basket)"
Mercredi,"18h30 — Parking face à Palmilud, Périgny (école maternelle)"
Mercredi,"19h00 — Parking face à la pharmacie, proche Intermarché, Villeneuve"
Mercredi,"19h30 — Parking salle Giraudeau, Mireuil"
Jeudi,"12h00 — Parking du bowling des Minimes"
Jeudi,"12h30 — Parking du SUAPSE, face Carrefour Market, Tasdon/Aytré"
Jeudi,"15h30 — Gymnase municipal, rue Pierre de Coubertin, Dompierre-sur-Mer"
Jeudi,"16h00 — Salle des fêtes, 1 rue de l’Aunis, Sainte-Soulle"
Jeudi,"16h30 — Place de la mairie, La Jarrie"
Jeudi,"17h00 — Parking de la mairie, La Jarne"
Jeudi,"17h30 — Centre municipal de rencontre, Saint-Rogatien"
Jeudi,"18h00 — Salle polyvalente Jean Fillipi, Puilboreau"
Vendredi,"12h00 — Salle polyvalente, Lagord"
Vendredi,"12h30 — Ruines de l’église, Laleu"
Vendredi,"13h00 — Face au stade Rochelais, Port Neuf (place de l’Île de France)"
Vendredi,"13h35 — Parc municipal, Salles-sur-Mer"
Vendredi,"14h30 — Fond de l’impasse rue de la Marne (près du commissariat) La Rochelle"
Vendredi,"16h45 - 17h20 — École de Villedoux"
Vendredi,"18h00 — Salle polyvalente, Saint-Vivien"
Vendredi,"18h30 — Parking du stade, Châtelaillon-Plage"
Vendredi,"19h15 — Entrée du parking, avenue Marie-François Sadi Carnot, Rochefort"
Samedi,"12h00 — Face à l’école Marie Eustelle, Marans"
Samedi,"12h30 — ⚠️ PARKING FACE À L’ÉGLISE, Andilly"
Samedi,"13h00 — Face à la mairie, Vérines"
Samedi,"13h30 — Parking de la mairie, Saint-Sauveur-d’Aunis"
Samedi,"14h10 — Parking du collège, Aigrefeuille-d’Aunis"
Samedi,"14h45 — Monument aux morts, Surgères"
Samedi,"15h40 — Salles municipales de Lafond, 48 avenue Antoine de Saint-Exupéry, La Rochelle"
